,lsa_summarization summary
0,"Time Warner's fourth quarter profits were slightly better than analysts' expectations.It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.Time Warner said on Friday that it now owns 8% of search-engine Google.TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.Ad sales boost Time Warner profit

Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (Â£600m) for the three months to December, from $639m year-earlier.

But its film division saw profits slump 27% to $284m, helped by box-office flops Alexander and Catwoman, a sharp contrast to year-earlier, when the third and final film in the Lord of the Rings trilogy boosted results.Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

"
1,"Dollar gains on Greenspan speech

The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.

In the meantime, the US Federal Reserve's decision on 2 February to boost interest rates by a quarter of a point - the sixth such move in as many months - has opened up a differential with European rates.The half-point window, some believe, could be enough to keep US assets looking more attractive, and could help prop up the dollar.On Friday, Federal Reserve chairman Mr Greenspan's speech in London ahead of the meeting of G7 finance ministers sent the dollar higher after it had earlier tumbled on the back of worse-than-expected US jobs data.In late trading in New York, the dollar reached $1.2871 against the euro, from $1.2974 on Thursday.The White House will announce its budget on Monday, and many commentators believe the deficit will remain at close to half a trillion dollars.
And Alan Greenspan highlighted the US government's willingness to curb spending and rising household savings as factors which may help to reduce it."
2,"The owners of embattled Russian oil giant Yukos are to ask the buyer of its former production unit to pay back a $900m (Â£479m) loan.

Yukos unit buyer faces loan claim

Yukos had filed for bankruptcy protection in a US court in an attempt to prevent the forced sale of its main production arm.Yukos claims its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky and has vowed to sue any participant in the sale.
Rosneft already faces a similar $540m repayment demand from foreign banks.Menatep Group's managing director Tim Osborne told the Reuters news agency: ""If they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit.Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets."
3,"However, it said sales would be better than previously forecast.BA had previously forecast a 2% to 3% rise in full-year revenue.

""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said.BA's profits were still better than market expectation of Â£59m, and it expects a rise in full-year revenues.

""For example, we have taken delivery of six Airbus A321 aircraft and next month we will start further improvements to our Club World flat beds.""Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers.Since the 11 September 2001 attacks in the United States, BA has cut 13,000 jobs as part of a major cost-cutting drive."
4,"Allied Domecq shares in London rose 4% by 1200 GMT, while Pernod shares in Paris slipped 1.2%.Pernod takeover talk lifts Domecq

Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.

In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of Â£5.7bn ($10.7bn; 8.2bn euros).Pernod said it was seeking acquisitions but refused to comment on specifics.

The WSJ said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio.Reports in the Wall Street Journal and the Financial Times suggested that the French spirits firm is considering a bid, but has yet to contact its target.Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.
"
5,"On an annual basis, the data suggests annual growth of just 0.2%, suggesting a much more hesitant recovery than had previously been thought.""It's painting a picture of a recovery... much patchier than previously thought,"" said Paul Sheard, economist at Lehman Brothers in Tokyo.The government was keen to play down the worrying implications of the data.Revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter.But in the face of the strengthening yen making exports less competitive and indications of weakening economic conditions ahead, observers were less sanguine.Improvements in the job market apparently have yet to feed through to domestic demand, with private consumption up just 0.2% in the third quarter.
A common technical definition of a recession is two successive quarters of negative growth.

"
6,"Nevertheless it was enough to push down the unemployment rate to 5.2%, its lowest level since September 2001.""We are not getting the boost to employment that we would have got given the low value of the dollar and the still relatively low interest rate environment.""Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.

""It suggests that employment is continuing to expand at a moderate pace,"" said Rick Egelton, deputy chief economist at BMO Financial Group.Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions.As a result, job creation became a key issue in last year's election.""
"
7,"""Some countries have tried to use fixed exchange rates.""A flexible exchange rate is one more channel for absorbing both positive and negative shocks,"" he told the conference.At a conference on developing enterprise hosted by UK finance minister Gordon Brown on Friday, he said that he was in favour of floating exchange rates because they help countries cope with economic shocks.China is expected to face renewed pressure to abandon its fixed exchange rate, which G7 nations, in particular the US, have blamed for a surge in cheap Chinese exports.He said the issue is not globalisation but ""the terms of engagement in globalisation.""Separately, the IMF warned on Thursday that India's budget deficit was too large and would hamper the country's economic growth, which it forecast to be around 6.5% in the year to March 2005.In the year to March 2004, the Indian economy grew by 8.5%.
"
8,"Ethiopia's crop production up 24%

Ethiopia produced 14.27 million tonnes of crops in 2004, 24% higher than in 2003 and 21% more than the average of the past five years, a report says.

In eastern and southern Ethiopia, a prolonged drought has killed crops and drained wells.In 2003, crop production totalled 11.49 million tonnes, the joint report from the Food and Agriculture Organisation and the World Food Programme said.Agriculture is the main economic activity in Ethiopia, representing 45% of gross domestic product.Good rains, increased use of fertilizers and improved seeds contributed to the rise in production.The report calculated emergency food requirements for 2005 to be 387,500 tonnes.On top of that, 89,000 tonnes of fortified blended food and vegetable oil for ""targeted supplementary food distributions for a survival programme for children under five and pregnant and lactating women"" will be needed.

"
9,"Among the accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson.Shares of tobacco companies closed higher after the ruling, with Altria rising 5% and Reynolds showing gains of 4.5%.
The tobacco companies deny that they illegally conspired to promote smoking and defraud the public.Court rejects $280bn tobacco case

A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.

In its case, the government claimed tobacco firms manipulated nicotine levels to increase addiction, targeted teenagers with multi-billion dollar advertising campaigns, lied about the dangers of smoking and ignored research to the contrary.

The court in Washington found that the case could not be brought under federal anti-racketeering laws.Prosecutors wanted the cigarette firms to surrender $280bn in profits accumulated over the past 50 years and impose tougher rules on marketing their products."
10,"Its $17m profit for the quarter was dwarfed by the $204m announced by rival Google earlier in the week.But on Thursday, it announced that a sharp turnaround had brought about an unexpected increase in profits.Analysts attributed the falls to excessive expectations in some quarters, fuelled by the dramatic outperformance of Google on Tuesday.
In both cases, their shares fell by some 4%.Neither Ask Jeeves nor Doubleclick thrilled investors with their profit news, however.The firm's revenue nearly tripled in the fourth quarter of 2004, exceeding $86m (Â£46m).The trend has taken hold relatively quickly."
11,"But critics argue cutting subsidies will hurt the poorer families that his government says it wants to help.President Susilo Bambang Yudhoyono's government has said it wants to curb fuel subsidies and direct the money into aid programmes for the poor.Indonesia's previous government, led by President Megawati Sukarnoputri, also attempted to cut subsidies in 2003, but was forced to back down in the face of public protests.
Since President Yudhoyono's government came to power in October, it has indicated its intention of raising domestic fuel prices by cutting subsidies.It spent 59.2 trillion rupiah ($6.58bn; Â£3.5bn) on fuel subsidies in 2004, a sum far in excess of its original projection of 14.5 trillion rupiah.The sooner the better for the state budget.""Indonesia pays subsidies to importers in order to stabilise domestic fuel prices, but higher oil prices have forced the government to spend more on holding prices down."
12,"Mitsubishi Motors has forecast a net loss of 472bn yen in its current financial year to March 2005.In January, Mitsubishi Motors issued its third profits warning in nine months, and cut its sales forecasts for the year to March 2005.Last month it said it was looking for a further 540bn yen ($5.2bn; Â£2.77bn) in fresh financial backing, half of it from other companies in the Mitsubishi group.Its sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles.The alliance comes as a badly-needed boost for loss-making Mitsubishi, after several profit warnings and poor sales.US-German carmaker DaimlerChrylser, a 30% shareholder in Mitsubishi Motors, decided in April 2004 not to pump in any more money.The two firms signed a Memorandum of Understanding, and say they expect to seal a final agreement by Spring 2005."
13,"The National Union of Journalists said it stood strongly behind the journalists and did not rule out a strike.The National Union of Journalists has called on the management to recall the notice of redundancy by midday on Monday or face a strike ballot.

The two Telegraph titles currently employ 521 journalists.

Journalists at the firm met on Friday afternoon to discuss how to react to the surprise announcement.""However, action to improve our production capability and secure our titles against the competition is also vital.""""Journalists are the lifeblood of any newspaper, and maintaining the quality of The Daily Telegraph and The Sunday Telegraph for our readers is vital,"" he said.Pearson's Financial Times said last week it was offering voluntary redundancy to about 30 reporters.

"
14,"The European Commission is facing two legal challenges - one from the European Low-fare Airlines Association (ELAA) and the other from the International Air Transport Association (IATA), which has attacked the package as a ""bad piece of legislation"".""We reckon it's going to cost European air passengers - not the airlines, the airlines have no money, it has to be paid by passengers - 1.5bn euros, that's over Â£1bn a year loaded onto European passengers,"" Mr Clarke said.The European Regions Airline Association (ERAA) claims that neither airlines nor consumers were consulted over the changes.""

On Wednesday, Jacques Barrot, vice president of the European Commission and also Commissioner for Transport, said that the changes were necessary.The ERAA's Mr Clarke also warned that while airlines would comply with the new rules, the extra costs would be passed onto passengers.Andy Clarke, ERAA director of air transport, said that the EC advice misleads customers as it leads them to believe that airlines could be liable for payouts if flights are delayed because of bad weather.

Airlines have attacked the legislation saying they could be forced to push prices higher to cover the extra cost."
15,"China keeps tight rein on credit

China's efforts to stop the economy from overheating by clamping down on credit will continue into 2005, state media report.

To some extent, the credit controls do seem to be taking effect.In theory, the government has a 7% growth target, but continues to insist that the overshoot does not mean a ""hard landing"" in the shape of an overbalancing economy.A low exchange rate - China's yuan is pegged to a rate of 8.28 to the dollar, which seems to be in relentless decline - means Chinese exports are cheap on world markets.China has thus far resisted international pressure to break the link or at least to shift the level of its peg.Rapid tooling-up of China's manufacturing sector means a massive demand for energy - one of the factors which has kept world oil prices sky-high for most of this year.There were also fears that too much stress might be placed on the fragile banking system."
16,"The firm sought bankruptcy protection in December 2003 after disclosing a 4bn-euro hole in its accounts.Less welcome was the news that the firm had been fined 11m euros for having violated takeover rules five years ago.Its pre-tax earnings in the fourth quarter were 77m euros (Â£53m; $100m), up from 38m in the same period of 2003.On Tuesday, the company's administrator, turnaround expert Enrico Bondi, sued Morgan Stanley, its former banker, to return 136m euros relating to a 2003 bond deal.That brought to 49 the number of banks that Mr Bondi has sued, a mass of legal action that could bring in as much as 3bn euros.Parmalat boasts doubled profits

Parmalat, the Italian food group at the centre of one of Europe's most painful corporate scandals, has reported a doubling in profit.

Its brands, well-known in Italy and overseas, have continued to perform strongly, however, and have barely lost revenue since the scandal broke.

"
17,"""Money has moved out from India in the first two or three weeks of January into other markets like Korea and Thailand and this upgrade should lead to a reversal.""""The upgrade is positive and basically people will use it as an excuse to come back to India,"" said Bhanu Baweja, a strategist at UBS.S&P, which rates borrowers' creditworthiness, lifted India's rating by one notch to 'BB+'.India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'.The currency has gained almost 1% in the past three sessions.The increase has put it on the same level as Romania, Egypt and El Salvador, and one level below Russia.
India's rupee hits five-year high

India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the country's foreign currency rating.

"
