Sent,Tm,Lex,Luhn,Lsa,Tr,LDA
"
A strong sign that this city is going bonkers for the Padres came 
Friday morning when 680 fans agreed to shave their heads for a radio 
promotion raffle in return for a 1-in-680 chance at skybox tickets 
for post-season play.",71.76,0.0014280043278787466,125,-0.02569323198245338,0.002077094093969345,0.7766011081572275
"``This was more a show of support for the team 
than it was for the one ticket,'' said Tommy Sablan, producer of the 
``Jeff and Jer'' show.",63.480000000000004,0.0009796050906420528,51,0.0011553337623160314,0.0018787122678004414,0.7386574057511431
"``It was symbolic of the efforts of the bald 
Padres _",9.200000000000001,0.0013085189404719254,23,-0.004186082707986135,0.0013638969526510007,0.6874133010179605
"Tony Gwynn, Wally Joyner, Greg Vaughn, Jim Leyritz.",0.0,0.00223969921015948,40,-0.04323067920935192,0.001275160769792854,0.7392113326011778
"About 
a thousand people showed up _ men, women and children.",11.96,0.0017729746000800896,31,-0.0004146893707121723,0.0017999816167827444,0.7069703587419481
"We had 10 barbers 
and 20 hairdressers and it took six hours for the lines to either 
get buzzed or straight-razored.",17.48,0.0007516005424395513,47,-0.01704993017575213,0.0019263704520237459,0.7438844551521524
"``We were shocked at the turnout. 
",9.200000000000001,0.001896551724137931,12,-2.061247905239452e-05,0.0012470094663743776,0.6210929997683898
But this is a bandwagon town.,4.6000000000000005,0.0009825921162506658,13,0.0036156339853435485,0.0013038030988986157,0.6206777291117272
"`Buy the ticket on the day of the concert' 
type public.",24.84,0.0014913021191047537,29,-0.0048105844210415164,0.001863698710850298,0.7220873010228548
"You'll see an even bigger bandwagon on Monday when they've 
won and then hopefully we play the Yankees and it's a real World Series.'' 
",28.52,0.0033371115860484886,47,0.06548132300509596,0.0021261933185239405,0.7419845106947466
"After the Padres beat the Braves, 3-0, in Game 2 of the National League 
Championship Series on Thursday night in Atlanta to take a two-game 
lead in the four-of-seven-game series, San Diego fans began gearing 
up for a shot at the World Series in more traditional ways.",151.8,0.003849550238632817,160,0.05603465917604183,0.00210158178237874,0.6457673473825198
"It would 
be the team's first World Series appearance since 1984, and in the 
downtown business district Friday, marquees and banners read ``Go 
Padres'' and a lunch-hour rally was attended by several hundred fans. 
",57.96,0.0014532838889503741,112,0.04418694597000359,0.002007402199571427,0.7704784700146685
"The Padres set an attendance record of 2,555,901 this season, up a 
half-million from last year and nearly a million and a half from three 
years ago.",98.44,0.002182669026335591,71,-0.031210728503883324,0.001873215968289948,0.7617367591252169
"It stemmed in part from an effort by John Moores, the Padres 
owner, and Larry Lucchino, the team's president, to put family entertainment 
in the park after they bought the team in December 1994.",86.48,0.0013592390449524562,106,0.0032137534751290383,0.001999946451812119,0.7695759101174883
"``This is 
a more diversified group of fans than I saw in Atlanta,'' Lucchino 
said.",11.040000000000001,0.000956910563904498,32,0.003495668510314354,0.0016586499417197778,0.7095730240495111
``Their crowd seemed yuppified.,4.6000000000000005,0.0007860522580728861,13,-0.005146656139939318,0.0013837544031545653,0.5922415263999772
"We're proud of our three generations 
of families who come to the games.''",18.400000000000002,0.0017423558976488952,25,-0.013163692211804585,0.0018728084430480877,0.6696019660419349
"Donna McMahon, a 63-year-old 
homemaker from La Jolla, has been a fan since she was 10 and the Pacific 
Coast League Padres played at Lane Field near the harbor.",38.64,0.0011840703488080855,86,-0.020964634751161615,0.001980507034248374,0.7663198899486021
"She would 
take a streetcar after school to meet her father, and he would buy 
bleacher seats.",16.560000000000002,0.0008840335659509817,40,0.0012990149432386658,0.001716595440535457,0.7311582606201115
"Later, she brought her four children to Jack Murphy 
Stadium for the National League Padres when 2,500 people was a crowd. 
",22.080000000000002,0.002359616503451728,61,-0.006582749464645658,0.0020077820041485327,0.7470014404064252
"Now, she brings her grandchildren to a sold-out Qualcomm Stadium. 
",5.5200000000000005,0.0007133564905494292,38,-0.006851110520777923,0.0019251447858114562,0.70962789862831
"``There are different groups in the stands,'' she said, ``the upper 
class, the middle class, the business person, the beer-drinking fan, 
the children, all of the Mexican fans from across the border.",50.6,0.001276234939313591,83,-0.013174024946640167,0.0019404731578681188,0.7653015535441967
"We are 
true fans _ all of us.''",7.36,0.0013460557116971206,7,-0.00027389937798818863,0.0017129900858718179,0.5999970976113933
"San Diego Mayor Susan Golding agrees, while 
also giving credit to the balmy weather.",8.280000000000001,0.0010035008259337004,52,-0.0032342546439315654,0.0017951190362083711,0.7439580868015213
"``Padre fans are a cross-section 
from all over the county,'' she said.",8.280000000000001,0.001647464042005249,28,-0.004805629071820604,0.0017841115516772192,0.7072179951803994
"``Downtown, suburban, rural, 
east, north, ranchers and farmers to high-tech engineers, yuppies 
to the new kids _",12.88,0.0008161072170918582,69,-0.004180308204441663,0.001678144724774891,0.7576693825497216
the X generation.,2.7600000000000002,0.0010854057598279796,10,-0.001242875614352848,0.0012833388471299822,0.5326011360673513
"A lot from across the border. 
",10.120000000000001,0.001327421613283779,9,0.002706586444033531,0.0016411393669301627,0.6021809059606648
The Padres are extremely popular in Tijuana.,6.44,0.0012929490257665788,28,-0.009405455549750474,0.0013312020653697253,0.6880479169162587
"We do have the perfect 
weather for a long baseball season.",63.480000000000004,0.0019376799306106498,32,-0.024404400349615895,0.002014931739119631,0.6986844271597189
"Playing in the World Series in 
October has got to be better than in New York.''",8.280000000000001,0.003943925066996349,26,0.11467554368612222,0.00197638870188657,0.6998347902560649
"Carlos Carrion, who 
was born in San Diego and has been a baseball fan for 25 years, brings 
his 10- and 8-year-old sons to the stadium.",60.720000000000006,0.00281058961942443,70,-0.024842639437379223,0.002029532995130605,0.7622400018764237
"``This is a great chance 
to let my children see the players work,'' Carrion said.",26.68,0.0017389663394698361,33,-0.0019006372304420673,0.001999742014499751,0.7159857308920228
"``They can 
look up to these guys and understand their character and their work 
ethic.''",20.240000000000002,0.0010666143850112076,31,0.002990631630587702,0.001737602423352821,0.708735208931082
"The Padres ticket office estimates that on average, more 
than 15,000 fans in the 65,000-seat stadium are Latin Americans from 
San Diego, Baja California or the state of Sonora.",35.88,0.0007816538792217735,104,-0.004268614312520351,0.0017980796650652235,0.63913724557728
"The Padres have 
the first major league baseball souvenir store in Tijuana. 
 
",56.120000000000005,0.0014171852122643771,44,0.001505430471742895,0.0017094787408796297,0.437038367178812
"The moment of truth for Chuck Knoblauch came in the bottom of the 
first inning when his name was announced at Yankee Stadium for the 
first time since he neglected to chase down that memorable loose ball 
last Wednesday.",101.2,0.0016768654805524215,101,-0.0692133904242985,0.002121937206490077,0.7647652454178704
There were no boos.,0.92,0.001896551724137931,3,-5.833800106697724e-06,0.0005809599068441595,0.5298333174169984
It was a very warm ovation.,4.6000000000000005,0.0010304470401831882,11,-0.0015373312048271733,0.0012607353347629628,0.6161286183209271
"They 
liked him.",0.0,0.001896551724137931,0,0.0,0.00027978987311973603,0.26666666666666666
They really liked him.,0.0,0.001896551724137931,0,0.0,0.00027978987311973603,0.26666666666666666
Knoblauch exhaled.,0.0,0.0018689091905082778,15,-0.022300505209790364,0.0007544071350627553,0.612699360648536
"Knoblauch had 
emphasized before the game that he was concerned about winning and 
rumbling into the World Series, not about the fans.",68.08,0.0030074952156393477,54,0.05608685750134301,0.0020574919571696763,0.7364288413032782
"But it surely 
made Knoblauch feel at home when he realized that the fans had forgiven 
him.",37.72,0.0026125544004406065,44,-0.03501320246957073,0.0019475386260059749,0.7229702625680405
