,LexRank_algorithm summary
0,"For the full-year, TimeWarner posted a profit of $3.36bn, up 27% from its 2003 performance, while revenues grew 6.4% to $42.09bn.Ad sales boost Time Warner profit

Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (Â£600m) for the three months to December, from $639m year-earlier.

Time Warner's fourth quarter profits were slightly better than analysts' expectations.However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

"
1,"Dollar gains on Greenspan speech

The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.

China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive.""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York.The White House will announce its budget on Monday, and many commentators believe the deficit will remain at close to half a trillion dollars.
But calls for a shift in Beijing's policy have fallen on deaf ears, despite recent comments in a major Chinese newspaper that the ""time is ripe"" for a loosening of the peg.Market concerns about the deficit has hit the greenback in recent months.The recent falls have partly been the result of big budget deficits, as well as the US's yawning current account gap, both of which need to be funded by the buying of US bonds and assets by foreign firms and governments."
2,"Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets.State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos.Yukos unit buyer faces loan claim

The owners of embattled Russian oil giant Yukos are to ask the buyer of its former production unit to pay back a $900m (Â£479m) loan.

But the company has said it intends to take action against Menatep to recover some of the tax claims and debts owed by Yugansk.""

Rosneft officials were unavailable for comment.The sale went ahead in December and Yugansk was sold to a little-known shell company which in turn was bought by Rosneft."
3,"To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers.

BA had previously forecast a 2% to 3% rise in full-year revenue.

Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - Â£160m - will still be way short of its additional fuel costs - a predicted extra Â£250m. Turnover for the quarter was up 4.3% to Â£1.97bn, further benefiting from a rise in cargo revenue.Rod Eddington, BA's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by Â£106m or 47.3%.BA's profits were still better than market expectation of Â£59m, and it expects a rise in full-year revenues.

Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers.""For example, we have taken delivery of six Airbus A321 aircraft and next month we will start further improvements to our Club World flat beds."""
4,"Pernod takeover talk lifts Domecq

Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.

Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.
Pernod's last major purchase was a third of US giant Seagram in 2000, the move which propelled it into the global top three of drinks firms.Allied Domecq's big names include Malibu rum, Courvoisier brandy, Stolichnaya vodka and Ballantine's whisky - as well as snack food chains such as Dunkin' Donuts and Baskin-Robbins ice cream.The WSJ said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio.Last year Pernod tried to buy Glenmorangie, one of Scotland's premier whisky firms, but lost out to luxury goods firm LVMH.Pernod said it was seeking acquisitions but refused to comment on specifics.

"
5,"A common technical definition of a recession is two successive quarters of negative growth.

Japan narrowly escapes recession

Japan's economy teetered on the brink of a technical recession in the three months to September, figures show.

On an annual basis, the data suggests annual growth of just 0.2%, suggesting a much more hesitant recovery than had previously been thought.But in the face of the strengthening yen making exports less competitive and indications of weakening economic conditions ahead, observers were less sanguine.The government was keen to play down the worrying implications of the data.""It's painting a picture of a recovery... much patchier than previously thought,"" said Paul Sheard, economist at Lehman Brothers in Tokyo.Improvements in the job market apparently have yet to feed through to domestic demand, with private consumption up just 0.2% in the third quarter.
"
6,"Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.

The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.According to Labor Department figures, US firms added only 146,000 jobs in January.The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000.

""
""That means there are a limited number of new opportunities for workers.""It suggests that employment is continuing to expand at a moderate pace,"" said Rick Egelton, deputy chief economist at BMO Financial Group."
7,"In London on Thursday ahead of the meeting, India's finance minister, lashed out at the restrictive trade policies of the G7 nations.Mr Chidambaram is attending the G7 meeting as part of the G20 group of nations, which account for two thirds of the world's population.""Some countries have tried to use fixed exchange rates.India calls for fair trade rules

India, which attends the G7 meeting of seven leading industrialised nations on Friday, is unlikely to be cowed by its newcomer status.

At a conference on developing enterprise hosted by UK finance minister Gordon Brown on Friday, he said that he was in favour of floating exchange rates because they help countries cope with economic shocks.Separately, the IMF warned on Thursday that India's budget deficit was too large and would hamper the country's economic growth, which it forecast to be around 6.5% in the year to March 2005.He said the issue is not globalisation but ""the terms of engagement in globalisation."""
8,"Last year, a total of 965,000 tonnes of food assistance was needed to help seven million Ethiopians.The Food and Agriculture Organisation (FAO) recommend that the food assistance is bought locally.In 2003, crop production totalled 11.49 million tonnes, the joint report from the Food and Agriculture Organisation and the World Food Programme said.Ethiopia's crop production up 24%

Ethiopia produced 14.27 million tonnes of crops in 2004, 24% higher than in 2003 and 21% more than the average of the past five years, a report says.

Nevertheless, 2.2 million Ethiopians will still need emergency assistance.

Good rains, increased use of fertilizers and improved seeds contributed to the rise in production.Agriculture is the main economic activity in Ethiopia, representing 45% of gross domestic product."
9,"Court rejects $280bn tobacco case

A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.

Shares of tobacco companies closed higher after the ruling, with Altria rising 5% and Reynolds showing gains of 4.5%.
They also say they have already met many of the government's demands in a landmark $206bn settlement reached with 46 states in 1998.Prosecutors wanted the cigarette firms to surrender $280bn in profits accumulated over the past 50 years and impose tougher rules on marketing their products.The tobacco companies deny that they illegally conspired to promote smoking and defraud the public.Among the accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson.But the Court of Appeals for the District of Columbia ruled that the US government could not sue the firms under legislation drawn up to counteract Mafia infiltration of business."
